Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,hospitalized_intensive,active
Afghanistan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Albania,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Algeria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Andorra,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Angola,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Antigua and Barbuda,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Argentina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Armenia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Australian Capital Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,New South Wales,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Northern Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Queensland,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,South Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Tasmania,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Victoria,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Australia,Western Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Austria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Azerbaijan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bahamas,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bahrain,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bangladesh,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Barbados,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Belarus,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Belgium,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Belize,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Benin,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bhutan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bolivia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
Bosnia and Herzegovina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0
